accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-749.4340,-107.9331,80.0657,-14411.2558,-4576.2514,-3412.5012
-665.8925,-69.0284,157.5702,-34055.0156,-6755.0024,-2205.0007
44.8807,143.4230,64.5769,7315.0029,-59736.2695,14638.7558
295.7490,521.7988,831.1460,36793.7617,-239102.5781,81690.0312
-827.7313,631.3174,1706.7458,66596.2734,-286685.1250,188317.5781
-1315.2596,495.5167,1997.9213,46042.5156,-286685.1250,241806.3281
-428.6226,-7.7444,677.1127,-7017.5024,-286685.1250,99050.0390
79.1510,263.1251,1014.8764,38885.0117,-95593.7890,24290.0078
133.6663,350.9351,1589.7269,32935.0117,69370.0234,-735.0003
-750.5316,-29.0261,176.2908,-50207.5195,-13090.0039,3036.2509
-648.6354,-19.9402,140.5570,-62046.2734,-19197.5078,4103.7509
19.1475,331.6047,546.6173,-12346.2548,-89285.0390,25628.7597
-38.7218,311.6646,1067.8673,-18803.7558,-286536.3437,121362.5468
-838.8905,831.4510,1619.8507,13930.0048,-286685.1250,197863.8125
-835.9024,554.1177,1764.6762,-27273.7597,-286685.1250,239575.0937
-42.1976,233.3673,387.7666,-39865.0156,-286685.1250,125370.0546
270.2597,343.0688,1710.7097,61985.0195,-15365.0048,30021.2597
-651.0746,72.4433,175.1322,-60243.7734,25480.0097,-16791.2558
-578.6923,101.4084,169.2172,-77140.0312,14848.7548,-11235.0039
22.8672,206.7194,316.2990,18427.5078,-75713.7734,32068.7617
-60.6133,426.5493,1083.1729,54355.0195,-283517.6250,133463.7968
-890.7228,715.9565,1552.1027,46060.0156,-286685.1250,237203.8437
-797.3026,470.2104,1557.5909,18628.7578,-286685.1250,249602.5781
-78.2973,594.0591,787.1192,-51948.7695,-286685.1250,133070.0468
218.3664,327.2752,1453.7434,93056.2890,-83378.7812,45727.5156
237.4529,493.4434,1519.1740,-28647.5117,43478.7656,1811.2507
-215.9272,58.4790,201.2922,-103048.7812,-18357.5058,16310.0058
-175.8029,102.7499,276.4186,-103048.7812,-34448.7617,22863.7578
-249.3438,280.5652,842.2442,-22592.5078,-165453.8125,69238.7734
-709.2487,424.5370,1048.4149,43487.5156,-286685.1250,110206.2890
-804.4372,553.2031,1244.2799,24543.7578,-286685.1250,173897.5625
-646.8060,670.4050,1547.9561,-14621.2548,-286685.1250,244422.5937
126.1049,-71.4066,-423.8663,-35525.0117,-286658.8437,122928.7968
533.5677,340.2028,1632.4732,79563.7812,-8540.0029,23528.7597
342.4590,655.7700,849.1349,-12678.7548,-36767.5117,32593.7597
-421.4881,42.0146,95.7983,-77621.2734,-3430.0012,323.7501
-283.7361,123.4218,93.6640,-76343.7812,-16003.7558,6203.7519
380.5101,372.3388,495.6997,19906.2578,-132492.5468,59552.5234
-556.4349,645.8304,1398.5572,31570.0097,-286685.1250,184852.5625
-1287.8801,606.7427,1527.0404,-17.5000,-286685.1250,246863.8593
-602.4743,356.8501,1255.3781,-56052.5195,-286685.1250,184677.5625
115.1897,235.1357,535.4581,17220.0058,-233782.5937,66316.2734
-129.5197,-17.1351,57.3204,-62650.0234,-2913.7509,-15260.0058
-46.2222,30.0627,83.9073,-62658.7734,-16126.2548,-11480.0039
-14.8179,400.7551,616.6824,30213.7597,-149003.7968,43925.0156
-738.8846,613.6944,1147.0181,101526.2812,-286685.1250,164613.8281
-1428.3760,620.9509,1587.0439,48991.2695,-286685.1250,265685.1250
-885.6615,283.9190,1469.9638,-32856.2656,-286685.1250,237956.3437
12.2568,223.0618,368.1922,-77271.2734,-278985.0937,65353.7734
165.4975,247.7584,1304.0395,83387.5390,-45298.7656,-8295.0019
-249.2219,110.0674,39.8804,-26355.0078,-5985.0019,-8076.2524
-139.6423,109.0307,-48.1126,-19355.0058,-22198.7578,-1715.0006
99.6400,247.7584,174.2785,-6781.2524,-174606.3125,65266.2734
-760.7152,447.3432,1099.0885,78531.2812,-286685.1250,166932.5625
-904.5651,473.1374,1360.9940,36181.2656,-286685.1250,196612.5781
-500.0292,312.4573,1436.7912,-55615.0195,-286685.1250,180871.3125
130.7393,378.2538,580.6436,-84700.0234,-286685.1250,49962.5195
-16.3424,97.3228,86.9563,-32830.0078,-14726.2548,-1050.0003
-16.3424,97.3228,86.9563,-32830.0078,-14726.2548,-1050.0003
314.4086,296.2368,476.0035,24928.7597,-179165.0468,73500.0312
-1144.9449,593.5103,1367.7628,30765.0136,-286685.1250,203446.3281
-1397.5815,513.9325,1378.9219,19801.2578,-286685.1250,223623.8437
-666.2584,397.5232,1122.0167,-34755.0156,-286685.1250,162225.0625
20.6719,268.6133,786.4484,-84122.5312,-255342.5937,61206.2773
-224.0375,150.2527,35.7948,21988.7597,11637.5039,-18821.2558
-78.1753,247.3315,74.8824,31141.2617,-2528.7507,-13221.2548
412.3412,430.0861,333.9220,98498.7812,-126971.2968,55860.0195
-789.4973,605.2183,1195.0698,82530.0234,-286685.1250,212633.8281
-1346.7858,705.7119,1506.0635,40416.2617,-286685.1250,286685.1250
-708.5780,485.5162,1120.7972,-70805.0234,-286685.1250,239566.3281
107.5673,412.6461,692.8453,36058.7656,-221646.3281,98997.5390
-212.4514,154.9481,-11.0372,-91323.7890,67690.0234,-38666.2656
-212.4514,154.9481,-11.0372,-91323.7890,67690.0234,-38666.2656
483.5648,109.8845,25.1844,10325.0039,-39217.5117,20597.5078
-115.0067,566.9234,1249.7680,136386.3125,-203927.5781,109917.5390
-1424.7783,901.3942,1625.5827,79966.2812,-286685.1250,269123.8750
-1332.2119,871.6972,1473.5617,53952.5156,-286685.1250,286685.1250
-595.3397,702.1142,1192.0207,-46908.7695,-286685.1250,246863.8593
-56.0399,235.2576,735.0429,78058.7812,-127820.0468,101202.5312
123.0560,283.7971,-0.4878,-26005.0097,111387.5390,-4480.0019
316.4819,417.8293,87.2612,-26005.0097,111387.5390,2213.7507
689.2476,441.3063,371.6681,-33696.2578,-28638.7617,70358.7734
