accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-935.8473,-15.7936,276.2966,-21358.7597,5495.0019,3071.2512
-952.1898,-65.9185,266.9058,-26180.0078,5775.0024,3403.7512
-1011.3395,-103.1768,323.9214,-10631.2529,9493.7529,-5075.0019
-993.0458,55.1862,247.6364,-4366.2514,2345.0009,708.7503
-987.3748,335.6294,-280.3212,-17045.0058,44913.7656,49271.2695
-1314.7109,616.8653,-652.4161,-25270.0097,222127.5781,204671.3281
-1788.0922,622.9632,-620.5850,-23126.2597,286685.1250,286685.1250
-1256.1099,269.1621,-336.6050,24613.7578,286685.1250,286685.1250
-87.7490,429.5982,114.9457,7175.0029,271792.5937,154953.8125
268.4913,380.6930,-68.9674,-848.7503,34413.7656,4725.0014
-150.6795,549.1784,118.7874,-19871.2558,-177100.0625,-80018.7812
-641.6838,489.3579,-541.3121,6492.5024,-284943.8437,-166530.0625
-1034.2066,614.4871,-516.9815,-8478.7529,-285941.3437,-196420.0781
-1255.6221,582.7780,-537.9583,-1811.2507,-230510.0937,-189262.5625
-892.7961,70.6749,313.5549,-16476.2558,-14577.5058,-13536.2548
-875.1730,117.9337,341.3614,-16476.2558,-14577.5058,-13536.2548
-995.0581,29.3920,254.1002,-57286.2734,-23677.5078,2765.0009
-990.3017,475.6985,-367.7654,6807.5024,56061.2695,54696.2695
-1385.6906,715.9565,-666.3804,11952.5039,254012.5937,217761.3281
-1651.3769,546.6173,-350.1424,-15522.5058,286685.1250,286685.1250
-1098.6616,234.9528,-255.7466,-31158.7617,286685.1250,286685.1250
-176.7176,437.4036,123.0560,25348.7597,236451.3437,117573.7968
67.0771,707.1755,-353.3743,-12425.0048,7210.0024,19258.7578
-964.8125,-11.0982,280.7481,-4558.7514,-4462.5014,-7280.0024
-921.7611,44.0879,306.0545,-4558.7514,-4462.5014,-7280.0024
-1003.8391,-21.7086,284.6508,-40040.0156,-19416.2578,-2572.5009
-896.3328,658.0263,-512.1031,-6212.5024,43968.7695,58003.7695
-1391.1177,721.6885,-855.2938,19197.5078,273656.3437,240905.0937
-1884.8051,574.8507,-338.0685,-20090.0078,286685.1250,286685.1250
-898.6500,134.7030,-105.8598,-19005.0058,286685.1250,277602.5937
36.7095,445.6968,150.2527,-24298.7578,195230.0781,78890.0312
171.2295,698.6994,-468.6249,45631.2656,-4961.2519,-20693.7578
-82.5048,537.1655,-445.5138,43111.2656,-122666.2968,-66062.5312
-1013.4129,-51.1615,234.1600,-22023.7578,-12451.2539,-7210.0024
-1013.4129,-51.1615,234.1600,-17613.7558,-13081.2548,-7210.0024
-1011.4006,96.8349,317.2746,-23336.2578,-13851.2558,-10325.0039
-914.1998,366.8507,-200.5605,-28192.5097,42280.0156,57907.5195
-1329.2238,902.7357,-941.8842,-13903.7548,257836.3281,246706.3281
-1988.0428,583.6316,-656.1969,10928.7539,286685.1250,286685.1250
-1141.5300,147.9355,151.2283,-1452.5004,286685.1250,286405.1250
