accX[mg],accY[mg],accZ[mg],gyroX[mdps],gyroY[mdps],gyroZ[mdps]
-1017.8033,-50.5517,44.9416,-43.7500,-700.0003,-1487.5006
-1017.3765,-53.7226,44.9416,-52.5000,-735.0003,-1636.2504
-1018.8400,-55.0032,44.6977,-105.0000,-96.2500,-971.2503
-1017.9253,-48.2955,42.0146,-96.2500,945.0004,-393.7502
-1020.3036,-52.2591,41.5268,-87.5000,-210.0001,-1093.7503
-1019.4498,-50.9176,44.1489,-113.7500,-411.2502,-1356.2504
-1018.1693,-52.0152,44.5148,-43.7500,218.7501,-752.5003
-1019.9376,-49.8200,42.0146,-96.2500,332.5001,-875.0003
-1018.3521,-51.8933,44.0879,-70.0000,0.0000,-1128.7503
-1021.1571,-50.3688,40.7951,-122.5000,-8.7500,-997.5003
-1016.8277,-53.2958,44.9416,-87.5000,-315.0001,-1225.0004
-1018.6571,-50.1859,42.0756,-122.5000,385.0001,-673.7503
-1017.4375,-50.7956,43.8440,-96.2500,-315.0001,-1163.7504
-1018.2302,-50.8566,43.4781,-96.2500,61.2500,-988.7504
-1018.8400,-51.1615,42.3805,-70.0000,-52.5000,-1015.0003
-1020.9133,-52.0762,42.3195,-122.5000,-218.7501,-1076.2503
-1020.7304,-51.1615,42.3195,-96.2500,-17.5000,-1076.2503
-1019.2058,-51.0396,42.0756,-87.5000,-122.5000,-962.5004
-1017.8033,-52.3811,43.8440,-78.7500,-140.0001,-1102.5003
-1018.4742,-51.8323,42.9903,-131.2500,26.2500,-1085.0003
-1018.9010,-50.0029,42.9903,-61.2500,-253.7501,-1190.0004
-1019.1448,-51.8933,41.3439,-131.2500,78.7500,-953.7504
-1018.2302,-50.9176,43.4172,-113.7500,-183.7501,-1128.7503
-1018.2911,-51.9542,43.5391,-78.7500,-26.2500,-1050.0003
-1019.0839,-51.4664,41.7098,-105.0000,-166.2501,-1111.2503
-1018.7180,-52.3811,42.9903,-96.2500,-253.7501,-1312.5003
-1018.8400,-50.3078,42.8684,-140.0001,315.0001,-813.7503
-1018.6571,-51.1005,42.6244,-52.5000,-280.0001,-1076.2503
-1018.9010,-50.1859,41.8927,-78.7500,175.0001,-831.2503
-1019.6327,-50.7956,42.8074,-105.0000,-280.0001,-1207.5003
-1018.3521,-51.5884,43.2342,-105.0000,-210.0001,-1102.5003
-1018.8400,-50.7347,44.0270,-70.0000,-8.7500,-1006.2504
-1018.7789,-51.2835,42.6244,-61.2500,-367.5001,-1233.7504
-1019.1448,-51.1615,41.4658,-122.5000,201.2501,-901.2503
-1017.1326,-50.9786,42.8074,-78.7500,-341.2501,-1277.5004
-1018.8400,-50.9176,43.2342,-113.7500,122.5000,-945.0004
-1018.2911,-50.4298,41.8317,-87.5000,-288.7501,-1251.2504
-1019.2669,-52.5031,43.1733,-96.2500,-26.2500,-1085.0003
-1018.3521,-49.5151,41.5878,-61.2500,52.5000,-892.5004
-1017.3765,-49.1492,41.5878,-87.5000,-96.2500,-962.5004
-1018.8400,-53.4177,41.0390,-17.5000,52.5000,-910.0003
-1019.3888,-49.9419,40.9170,43.7500,-411.2502,-1443.7506
-1017.6205,-50.1859,43.4781,-96.2500,-166.2501,-1102.5003
-1019.6937,-49.7590,41.9537,-122.5000,-253.7501,-1233.7504
-1017.7424,-53.0519,43.8440,-78.7500,131.2500,-971.2503
-1018.7180,-50.3078,41.0390,-70.0000,61.2500,-945.0004
-1016.3399,-51.5884,42.3195,-140.0001,-341.2501,-1233.7504
-1018.4132,-51.0396,42.9293,-78.7500,-26.2500,-988.7504
-1019.3278,-52.5031,41.8317,-96.2500,8.7500,-1050.0003
-1018.4742,-51.6494,41.8927,-43.7500,-87.5000,-1050.0003
-1017.9253,-50.7347,42.1366,-113.7500,-17.5000,-1058.7504
-1019.2669,-51.6494,41.5268,-105.0000,-175.0001,-1085.0003
-1018.3521,-51.4054,42.4415,-87.5000,201.2501,-883.7503
-1018.5961,-49.0882,38.1120,-78.7500,-253.7501,-1198.7503
-1017.3765,-53.1738,44.8807,-78.7500,-673.7503,-1496.2504
-1018.0473,-52.1982,43.0513,-96.2500,96.2500,-1093.7503
-1019.2669,-48.6614,41.8927,-61.2500,-656.2502,-1233.7504
-1018.0473,-52.3811,45.4295,-122.5000,-35.0000,-997.5003
-1018.4132,-47.8687,41.2219,-87.5000,183.7501,-848.7503
-1017.3155,-52.2591,44.6368,-61.2500,-183.7501,-1163.7504
-1018.5961,-51.1615,42.0756,-96.2500,-70.0000,-980.0004
-1017.2545,-50.9786,42.4415,-78.7500,-52.5000,-1058.7504
